GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LectureRoomReservation2,deu.cse.lectureroomreservation2.server.control,ScheduleManager,3,0,0,0,1,0,1,0,1,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.server.control,LoginController,2,59,3,9,1,16,3,5,0,2
LectureRoomReservation2,deu.cse.lectureroomreservation2.server.control,LoginStatus,28,28,4,4,8,7,5,2,1,2
LectureRoomReservation2,deu.cse.lectureroomreservation2.server.control,SystemController,6,42,0,0,2,11,0,3,0,3
LectureRoomReservation2,deu.cse.lectureroomreservation2.server.control,ReservationController,17,10,0,0,2,4,2,2,2,2
LectureRoomReservation2,deu.cse.lectureroomreservation2.server,Server,1,28,0,0,1,5,1,2,1,2
LectureRoomReservation2,deu.cse.lectureroomreservation2.server.model,DaysOfWeek,0,63,0,0,0,12,0,3,0,3
LectureRoomReservation2,deu.cse.lectureroomreservation2.server.model,UserData,0,27,1,1,0,6,1,2,0,2
LectureRoomReservation2,deu.cse.lectureroomreservation2.server.model,LectureRoom,164,4,26,0,29,1,15,1,2,1
LectureRoomReservation2,deu.cse.lectureroomreservation2.server.model,ReservationAgent,104,10,16,0,26,4,11,2,3,2
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,ReservationHistoryView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,ReservationHistoryView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,ReservationHistoryView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,TimetableManagementView,1074,0,6,0,148,0,8,0,5,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,UserManagementView,694,0,8,0,117,0,10,0,6,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,ReservationHistoryView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,ReservationHistoryView.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,LectureRoomManagementView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,LectureRoomManagementView.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,ReservationHistoryView,835,0,4,0,148,0,9,0,7,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,LectureRoomManagementView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,TimetableManagementView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,LectureRoomManagementView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,TimetableManagementView.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,LectureRoomManagementView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,TimetableManagementView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,UserManagementView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,UserManagementView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,UserManagementView.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,LoginView,23,3,0,0,7,1,1,1,1,1
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,UserManagementView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,MainMenu,51,22,2,0,9,3,2,2,1,2
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,AdminMainView,355,0,4,0,88,0,9,0,7,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,AdminMainView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,AdminMainView.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,AdminMainView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,AdminMainView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,AdminMainView.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client.view,LectureRoomManagementView,946,0,4,0,200,0,9,0,7,0
LectureRoomReservation2,deu.cse.lectureroomreservation2.client,Client,27,65,5,5,10,17,6,3,1,2
